division,month,budget_alloc,budget_used,staff_count,tasks,usage_rate
전략기획본부,2025-01,128.4,54.4,28,7,42.4
전략기획본부,2025-02,128.4,60.3,29,9,47.0
전략기획본부,2025-03,128.4,74.3,25,7,57.9
전략기획본부,2025-04,128.4,73.5,27,7,57.2
전략기획본부,2025-05,128.4,94.9,26,6,73.9
전략기획본부,2025-06,128.4,107.7,26,5,83.9
전략기획본부,2025-07,128.4,106.4,28,7,82.9
전략기획본부,2025-08,128.4,117.4,28,8,91.4
전략기획본부,2025-09,128.4,128.5,29,7,100.1
전략기획본부,2025-10,128.4,132.4,28,5,103.1
전략기획본부,2025-11,128.4,153.8,27,7,119.8
전략기획본부,2025-12,128.4,152.3,29,5,118.6
디지털혁신실,2025-01,152.6,50.1,51,14,32.8
디지털혁신실,2025-02,152.6,63.4,50,14,41.5
디지털혁신실,2025-03,152.6,88.0,49,12,57.7
디지털혁신실,2025-04,152.6,98.5,48,15,64.5
디지털혁신실,2025-05,152.6,108.1,48,13,70.8
디지털혁신실,2025-06,152.6,116.0,49,12,76.0
디지털혁신실,2025-07,152.6,126.3,48,15,82.8
디지털혁신실,2025-08,152.6,143.7,51,14,94.2
디지털혁신실,2025-09,152.6,145.1,51,15,95.1
디지털혁신실,2025-10,152.6,175.5,47,13,115.0
디지털혁신실,2025-11,152.6,179.9,49,12,117.9
디지털혁신실,2025-12,152.6,195.7,47,15,128.2
데이터분석센터,2025-01,187.3,76.1,55,27,40.6
데이터분석센터,2025-02,187.3,86.8,53,29,46.3
데이터분석센터,2025-03,187.3,117.1,53,29,62.5
데이터분석센터,2025-04,187.3,126.1,57,27,67.3
데이터분석센터,2025-05,187.3,115.1,57,28,61.5
데이터분석센터,2025-06,187.3,159.0,57,28,84.9
데이터분석센터,2025-07,187.3,152.7,57,25,81.5
데이터분석센터,2025-08,187.3,145.8,54,28,77.8
데이터분석센터,2025-09,187.3,194.3,55,27,103.7
데이터분석센터,2025-10,187.3,199.7,57,25,106.6
데이터분석센터,2025-11,187.3,185.6,56,26,99.1
데이터분석센터,2025-12,187.3,235.1,54,26,125.5
인재개발실,2025-01,68.5,34.5,14,9,50.4
인재개발실,2025-02,68.5,34.4,15,7,50.2
인재개발실,2025-03,68.5,42.8,17,7,62.5
인재개발실,2025-04,68.5,45.4,16,11,66.3
인재개발실,2025-05,68.5,49.4,15,11,72.1
인재개발실,2025-06,68.5,47.5,15,8,69.3
인재개발실,2025-07,68.5,50.4,15,7,73.6
인재개발실,2025-08,68.5,49.6,17,9,72.4
인재개발실,2025-09,68.5,66.6,18,8,97.2
인재개발실,2025-10,68.5,68.4,15,11,99.9
인재개발실,2025-11,68.5,64.1,15,10,93.6
인재개발실,2025-12,68.5,73.2,17,7,106.9
대외협력실,2025-01,55.1,17.0,32,5,30.9
대외협력실,2025-02,55.1,20.5,32,8,37.2
대외협력실,2025-03,55.1,29.5,33,7,53.5
대외협력실,2025-04,55.1,32.7,31,7,59.3
대외협력실,2025-05,55.1,34.3,32,7,62.3
대외협력실,2025-06,55.1,43.8,29,8,79.5
대외협력실,2025-07,55.1,52.7,31,6,95.6
대외협력실,2025-08,55.1,52.1,32,6,94.6
대외협력실,2025-09,55.1,59.1,30,7,107.3
대외협력실,2025-10,55.1,61.1,32,4,110.9
대외협력실,2025-11,55.1,68.3,30,6,124.0
대외협력실,2025-12,55.1,69.2,30,4,125.6
성과평가실,2025-01,94.2,38.6,23,12,41.0
성과평가실,2025-02,94.2,43.3,23,10,46.0
성과평가실,2025-03,94.2,50.4,22,13,53.5
성과평가실,2025-04,94.2,62.3,24,12,66.1
성과평가실,2025-05,94.2,59.4,21,13,63.1
성과평가실,2025-06,94.2,70.3,23,9,74.6
성과평가실,2025-07,94.2,71.9,24,9,76.3
성과평가실,2025-08,94.2,73.5,23,11,78.0
성과평가실,2025-09,94.2,90.9,20,10,96.5
성과평가실,2025-10,94.2,104.2,20,12,110.6
성과평가실,2025-11,94.2,93.4,20,11,99.2
성과평가실,2025-12,94.2,117.0,22,13,124.2
